narch,vi,vf,m,sd,rate,plot,mean
5,3,10,0.75,0.3831998,true positive rate,adjbox,0.75
5,3,10,0.03105263,0.02846616,false positive rate,adjbox,0.03105263
5,3,15,0.88,0.2546411,true positive rate,adjbox,0.88
5,3,15,0.03105263,0.02520654,false positive rate,adjbox,0.03105263
5,4,10,0.83,0.3326133,true positive rate,adjbox,0.83
5,4,10,0.04,0.03046991,false positive rate,adjbox,0.04
5,4,15,0.86,0.2909151,true positive rate,adjbox,0.86
5,4,15,0.02894737,0.02620475,false positive rate,adjbox,0.02894737
5,5,10,0.83,0.3326133,true positive rate,adjbox,0.83
5,5,10,0.03578947,0.02965516,false positive rate,adjbox,0.03578947
5,5,15,0.92,0.2375312,true positive rate,adjbox,0.92
5,5,15,0.03315789,0.02943309,false positive rate,adjbox,0.03315789
6,3,10,0.75,0.3886549,true positive rate,adjbox,0.75
6,3,10,0.04105263,0.0255341,false positive rate,adjbox,0.04105263
6,3,15,0.85,0.3034885,true positive rate,adjbox,0.85
6,3,15,0.03842105,0.02445499,false positive rate,adjbox,0.03842105
6,4,10,0.79,0.3754296,true positive rate,adjbox,0.79
6,4,10,0.04894737,0.03172175,false positive rate,adjbox,0.04894737
6,4,15,0.84,0.3015748,true positive rate,adjbox,0.84
6,4,15,0.03578947,0.02301137,false positive rate,adjbox,0.03578947
6,5,10,0.77,0.3853911,true positive rate,adjbox,0.77
6,5,10,0.04631579,0.02905921,false positive rate,adjbox,0.04631579
6,5,15,0.87,0.2848822,true positive rate,adjbox,0.87
6,5,15,0.04210526,0.02486294,false positive rate,adjbox,0.04210526
7,3,10,0.78,0.3887903,true positive rate,adjbox,0.78
7,3,10,0.03631579,0.0237779,false positive rate,adjbox,0.03631579
7,3,15,0.87,0.2848822,true positive rate,adjbox,0.87
7,3,15,0.03421053,0.02313144,false positive rate,adjbox,0.03421053
7,4,10,0.8,0.3727564,true positive rate,adjbox,0.8
7,4,10,0.04315789,0.02708569,false positive rate,adjbox,0.04315789
7,4,15,0.87,0.2848822,true positive rate,adjbox,0.87
7,4,15,0.02947368,0.02176094,false positive rate,adjbox,0.02947368
7,5,10,0.8,0.3727564,true positive rate,adjbox,0.8
7,5,10,0.03894737,0.02669532,false positive rate,adjbox,0.03894737
7,5,15,0.92,0.176516,true positive rate,adjbox,0.92
7,5,15,0.03421053,0.02363029,false positive rate,adjbox,0.03421053
8,3,10,0.77,0.3570346,true positive rate,adjbox,0.77
8,3,10,0.04421053,0.02849176,false positive rate,adjbox,0.04421053
8,3,15,0.87,0.2364207,true positive rate,adjbox,0.87
8,3,15,0.04631579,0.02495659,false positive rate,adjbox,0.04631579
8,4,10,0.8,0.343358,true positive rate,adjbox,0.8
8,4,10,0.04894737,0.02695079,false positive rate,adjbox,0.04894737
8,4,15,0.86,0.2603641,true positive rate,adjbox,0.86
8,4,15,0.04105263,0.02388191,false positive rate,adjbox,0.04105263
8,5,10,0.79,0.3401238,true positive rate,adjbox,0.79
8,5,10,0.04473684,0.02771883,false positive rate,adjbox,0.04473684
8,5,15,0.89,0.2100125,true positive rate,adjbox,0.89
8,5,15,0.04421053,0.02476894,false positive rate,adjbox,0.04421053
5,3,10,1,0,true positive rate,boxplot,1
5,3,10,0.03578947,0.01383046,false positive rate,boxplot,0.03578947
5,3,15,1,0,true positive rate,boxplot,1
5,3,15,0.03684211,0.01724585,false positive rate,boxplot,0.03684211
5,4,10,1,0,true positive rate,boxplot,1
5,4,10,0.03736842,0.01619066,false positive rate,boxplot,0.03736842
5,4,15,1,0,true positive rate,boxplot,1
5,4,15,0.03578947,0.017212,false positive rate,boxplot,0.03578947
5,5,10,1,0,true positive rate,boxplot,1
5,5,10,0.03684211,0.01655574,false positive rate,boxplot,0.03684211
5,5,15,1,0,true positive rate,boxplot,1
5,5,15,0.03631579,0.0172374,false positive rate,boxplot,0.03631579
6,3,10,0.97,0.1341641,true positive rate,boxplot,0.97
6,3,10,0.03578947,0.017212,false positive rate,boxplot,0.03578947
6,3,15,1,0,true positive rate,boxplot,1
6,3,15,0.03736842,0.01467935,false positive rate,boxplot,0.03736842
6,4,10,1,0,true positive rate,boxplot,1
6,4,10,0.03631579,0.0172374,false positive rate,boxplot,0.03631579
6,4,15,1,0,true positive rate,boxplot,1
6,4,15,0.03631579,0.01507139,false positive rate,boxplot,0.03631579
6,5,10,1,0,true positive rate,boxplot,1
6,5,10,0.03526316,0.01750596,false positive rate,boxplot,0.03526316
6,5,15,1,0,true positive rate,boxplot,1
6,5,15,0.03947368,0.01560371,false positive rate,boxplot,0.03947368
7,3,10,1,0,true positive rate,boxplot,1
7,3,10,0.03736842,0.01545349,false positive rate,boxplot,0.03736842
7,3,15,1,0,true positive rate,boxplot,1
7,3,15,0.04,0.01623562,false positive rate,boxplot,0.04
7,4,10,1,0,true positive rate,boxplot,1
7,4,10,0.04052632,0.01909912,false positive rate,boxplot,0.04052632
7,4,15,1,0,true positive rate,boxplot,1
7,4,15,0.04,0.01623562,false positive rate,boxplot,0.04
7,5,10,1,0,true positive rate,boxplot,1
7,5,10,0.03894737,0.01810372,false positive rate,boxplot,0.03894737
7,5,15,1,0,true positive rate,boxplot,1
7,5,15,0.04052632,0.01647629,false positive rate,boxplot,0.04052632
8,3,10,0.98,0.08944272,true positive rate,boxplot,0.98
8,3,10,0.03736842,0.01885326,false positive rate,boxplot,0.03736842
8,3,15,1,0,true positive rate,boxplot,1
8,3,15,0.04263158,0.01654693,false positive rate,boxplot,0.04263158
8,4,10,1,0,true positive rate,boxplot,1
8,4,10,0.04052632,0.01970034,false positive rate,boxplot,0.04052632
8,4,15,1,0,true positive rate,boxplot,1
8,4,15,0.04263158,0.01654693,false positive rate,boxplot,0.04263158
8,5,10,1,0,true positive rate,boxplot,1
8,5,10,0.04052632,0.01970034,false positive rate,boxplot,0.04052632
8,5,15,1,0,true positive rate,boxplot,1
8,5,15,0.04315789,0.01771294,false positive rate,boxplot,0.04315789
