method,mean,sd,rate,cluster,out_rate
FOADA-TH,1,0,true positive,single,FALSE
FOADA-RMAH,1,0,true positive,single,FALSE
FADALARA,0.98,0.06324555320336757,true positive,single,TRUE
RMAH,0.72,0.2699794230842212,true positive,single,FALSE
ISFE,0.98,0.06324555320336757,true positive,single,FALSE
OUG,0.96,0.08432740427115676,true positive,single,FALSE
LRT,0,0,true positive,single,TRUE
TRIM,0.98,0.06324555320336757,true positive,single,TRUE
POND,0.94,0.18973665961010275,true positive,single,FALSE
FOM,0.54,0.4005551702879947,true positive,single,FALSE
FB,0.13999999999999999,0.18973665961010275,true positive,single,FALSE
HDR,0.52,0.25298221281347033,true positive,single,TRUE
AAKNN,1,0,true positive,single,FALSE
FOADA-TH,0.0010526315789473684,0.0033287133264930306,false positive,single,FALSE
FOADA-RMAH,0.03894736842105263,0.017925669858869897,false positive,single,FALSE
FADALARA,0.030526315789473683,0.028266854822628532,false positive,single,TRUE
RMAH,0.010526315789473684,0.011095711088310103,false positive,single,FALSE
ISFE,0.021052631578947368,0.007017543859649124,false positive,single,FALSE
OUG,0.01263157894736842,0.011950446572579931,false positive,single,FALSE
LRT,0,0,false positive,single,TRUE
TRIM,0.005263157894736842,0.007443229275647868,false positive,single,TRUE
POND,0.004210526315789474,0.005435766099940234,false positive,single,FALSE
FOM,0.003157894736842105,0.005084693595154189,false positive,single,FALSE
FB,0,0,false positive,single,FALSE
HDR,0.02526315789473684,0.013314853305972122,false positive,single,TRUE
AAKNN,0.0431578947368421,0.012602305260398575,false positive,single,FALSE
TRIMKMEANS,0.96,0.12649110640673517,true positive,single,TRUE
TRIMKMEANS,0.002105263157894737,0.006657426652986061,false positive,single,TRUE
